file	ontology	n	mean	stdv	stderr
SacC.100percentID.GOtermsAndText.txt	mfo	0	0.000	0.000	0.000
SacC.100percentID.GOtermsAndText.txt	bpo	0	0.000	0.000	0.000
SacC.100percentID.GOtermsAndText.txt	cco	635	0.796	0.383	0.015
