18029348	7946
16823372	6560
14551910	5598
17417969	4742
18614015	2412
12529635	2216
14562095	1800
15791247	1474
15489339	1424
15525680	1365
18431481	1251
14651853	1213
17317660	1136
21166475	1041
20061580	882
11231151	860
16823961	845
20706207	815
12445391	815
21533090	784
21529718	765
14532352	735
11099033	694
20419786	667
17704769	661
12529643	639
16429126	638
15028209	634
12657046	613
17432890	577
16845399	548
16618929	513
14576278	503
11099034	499
16189514	487
11256614	466
18433294	456
17644812	436
16989802	426
17151019	401
18981222	397
14671022	392
15539469	380
18757743	376
12865426	375
17182846	366
16507136	351
14527345	343
20422638	338
16336044	329
