Gene,Main location,Other location,Expression type,Reliability
ENSG00000148848,Plasma membrane,Nucleus but not nucleoli;Mitochondria,Staining,Supportive
ENSG00000148908,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000148925,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000148942,,,Staining,Uncertain
ENSG00000148950,,,Staining,Uncertain
ENSG00000149084,Nucleus,,Staining,Non-supportive
ENSG00000149090,Nucleus,,Staining,Uncertain
ENSG00000149100,Cytoplasm,,Staining,Uncertain
ENSG00000149115,Plasma membrane;Cytoplasm,Golgi apparatus,Staining,Uncertain
ENSG00000149136,Cytoplasm,Nucleus,Staining,Supportive
ENSG00000149150,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000149177,Nucleus but not nucleoli,Plasma membrane,Staining,Uncertain
