Gene,Main location,Other location,Expression type,Reliability
ENSG00000143294,Nucleus but not nucleoli,Vesicles,APE,Medium
ENSG00000143297,,,Staining,Uncertain
ENSG00000143314,,,Staining,Uncertain
ENSG00000143318,Nucleus,Nucleoli;Vesicles,Staining,Non-supportive
ENSG00000143319,Nucleus;Vesicles,,Staining,Supportive
ENSG00000143320,Cytoplasm,Nucleus but not nucleoli,Staining,Supportive
ENSG00000143322,Nucleus but not nucleoli,Nucleoli,Staining,Non-supportive
ENSG00000143324,Nucleus;Nucleoli,,Staining,Uncertain
ENSG00000143344,Nucleus but not nucleoli;Golgi apparatus;Vesicles,Cytoskeleton (Microtubules),Staining,Uncertain
ENSG00000143355,,,Staining,Uncertain
ENSG00000143363,Cytoplasm,,Staining,Supportive
ENSG00000143367,Nucleus;Centrosome,Cytoplasm;Endoplasmic reticulum;Cytoskeleton (Intermediate filaments),Staining,Uncertain
ENSG00000143368,Golgi apparatus;Vesicles,,Staining,Uncertain
ENSG00000143369,Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000143373,Nucleus;Nucleoli,,Staining,Supportive
